method,model,eval_set,threshold,coverage,precision,recall,macro_f1,accuracy,n_pred_classes,n_pred_neutral,n_auto,n_human,human_cost_usd,valid
zero_shot,gpt-oss-120b,balanced,0.75,0.83,0.8452,0.72,0.6859,0.7791,3,13,249,51,10.62,True
zero_shot,gpt-oss-120b,balanced,0.8,0.73,0.8717,0.6965,0.6605,0.8128,3,5,219,81,16.88,True
zero_shot,gpt-oss-120b,balanced,0.85,0.72,0.8731,0.6973,0.6627,0.8148,3,5,216,84,17.5,True
zero_shot,gpt-oss-120b,balanced,0.9,0.583,0.9272,0.7391,0.7471,0.8971,3,5,175,125,26.04,True
zero_shot,gpt-oss-120b,balanced,0.95,0.163,0.6667,0.6667,0.6667,1.0,2,0,49,251,52.29,False
zero_shot,gpt-oss-120b,natural,0.0,1.0,0.7589,0.7684,0.7606,0.911,3,65,1000,0,0.0,True
zero_shot,gpt-oss-120b,natural,0.7,0.944,0.7796,0.7071,0.7091,0.9364,3,16,944,56,11.67,True
zero_shot,gpt-oss-120b,natural,0.75,0.944,0.7796,0.7071,0.7091,0.9364,3,16,944,56,11.67,True
zero_shot,gpt-oss-120b,natural,0.8,0.887,0.8354,0.6799,0.6737,0.9583,3,3,887,113,23.54,True
zero_shot,gpt-oss-120b,natural,0.85,0.88,0.8351,0.6806,0.6746,0.9591,3,3,880,120,25.0,True
zero_shot,gpt-oss-120b,natural,0.9,0.782,0.7998,0.695,0.6994,0.9821,3,2,782,218,45.42,True
zero_shot,gpt-oss-120b,natural,0.95,0.309,1.0,1.0,1.0,1.0,3,1,309,691,143.96,True
zero_shot,gpt-oss-20b,balanced,0.0,1.0,0.7721,0.7633,0.7454,0.7633,3,56,300,0,0.0,True
zero_shot,gpt-oss-20b,balanced,0.7,0.877,0.7974,0.7351,0.7067,0.7681,3,24,263,37,7.71,True
zero_shot,gpt-oss-20b,balanced,0.75,0.877,0.7974,0.7351,0.7067,0.7681,3,24,263,37,7.71,True
zero_shot,gpt-oss-20b,balanced,0.8,0.87,0.7975,0.7331,0.7055,0.7701,3,23,261,39,8.12,True
zero_shot,gpt-oss-20b,balanced,0.85,0.697,0.8848,0.6805,0.636,0.8278,3,2,209,91,18.96,True
zero_shot,gpt-oss-20b,balanced,0.9,0.533,0.6009,0.6604,0.6283,0.8812,2,0,160,140,29.17,False
zero_shot,gpt-oss-20b,balanced,0.95,0.31,0.6535,0.6667,0.66,0.9677,2,0,93,207,43.12,False
zero_shot,gpt-oss-20b,natural,0.0,1.0,0.7328,0.7708,0.7503,0.898,3,88,1000,0,0.0,True
zero_shot,gpt-oss-20b,natural,0.7,0.948,0.7754,0.7647,0.7634,0.9293,3,42,948,52,10.83,True
zero_shot,gpt-oss-20b,natural,0.75,0.948,0.7754,0.7647,0.7634,0.9293,3,42,948,52,10.83,True
zero_shot,gpt-oss-20b,natural,0.8,0.942,0.7843,0.7678,0.7695,0.9331,3,41,942,58,12.08,True
zero_shot,gpt-oss-20b,natural,0.85,0.882,0.7825,0.6655,0.6556,0.9603,3,2,882,118,24.58,True
zero_shot,gpt-oss-20b,natural,0.9,0.803,0.9686,0.6792,0.6875,0.9788,3,1,803,197,41.04,True
zero_shot,gpt-oss-20b,natural,0.95,0.598,0.6338,0.6667,0.6494,0.9933,2,0,598,402,83.75,False
